id,name,image,description,stats
17f69d71826l0i32gkm3ndn3kywxqj,Hero,https://eldenring.fanapis.com/images/classes/17f69d71826l0i32gkm3ndn3kywxqj.png,"A stalwart Hero, at home with a battleaxe, descended from a badlands chieftain","{'level': '7', 'vigor': '14', 'mind': '9', 'endurance': '12', 'strength': '16', 'dexterity': '9', 'intelligence': '7', 'faith': '8', 'arcane': '11'}"
17f69b2dd76l0i32gljr3f62pkzhjo,Warrior,https://eldenring.fanapis.com/images/classes/17f69b2dd76l0i32gljr3f62pkzhjo.png,A twinblade wielding warrior from a nomadic tribe. An origin of exceptional technique,"{'level': '8', 'vigor': '11', 'mind': '12', 'endurance': '11', 'strength': '10', 'dexterity': '16', 'intelligence': '10', 'faith': '8', 'arcane': '9'}"
17f69874f7bl0i32gmqaffmbfral8f,Astrologer,https://eldenring.fanapis.com/images/classes/17f69874f7bl0i32gmqaffmbfral8f.png,A scholar who reads fate in the stars. Heir to the school of glintstone sorcery,"{'level': '6', 'vigor': '9', 'mind': '15', 'endurance': '9', 'strength': '8', 'dexterity': '12', 'intelligence': '16', 'faith': '7', 'arcane': '9'}"
17f69d43011l0i32gojnjjs9mcg0k,Bandit,https://eldenring.fanapis.com/images/classes/17f69d43011l0i32gojnjjs9mcg0k.png,A dangerous bandit who strikes for weak points. Excels at ranged combat with bows,"{'level': '5', 'vigor': '10', 'mind': '11', 'endurance': '10', 'strength': '9', 'dexterity': '13', 'intelligence': '9', 'faith': '8', 'arcane': '14'}"
17f69d1f5f1l0i32grxfonsq64huhl,Prisoner,https://eldenring.fanapis.com/images/classes/17f69d1f5f1l0i32grxfonsq64huhl.png,"A prisoner bound in an iron mask. Studied in glintstone sorcery, having lived among the elite prior to sentencing.","{'level': '9', 'vigor': '11', 'mind': '12', 'endurance': '11', 'strength': '11', 'dexterity': '14', 'intelligence': '14', 'faith': '6', 'arcane': '9'}"
17f69db959fl0i32hhpwdbjko0bj57,Vagabond,https://eldenring.fanapis.com/images/classes/17f69db959fl0i32hhpwdbjko0bj57.png,"A knight exiled from their homeland to wander. A solid, armor-clad origin.","{'level': '9', 'vigor': '15', 'mind': '10', 'endurance': '11', 'strength': '14', 'dexterity': '13', 'intelligence': '9', 'faith': '9', 'arcane': '7'}"
17f69774a83l0i32hjagb1nwcs1hne,Confessor,https://eldenring.fanapis.com/images/classes/17f69774a83l0i32hjagb1nwcs1hne.png,A church spy adept at covert operations. Equally adept with a sword as they are with incantations,"{'level': '10', 'vigor': '10', 'mind': '13', 'endurance': '10', 'strength': '12', 'dexterity': '12', 'intelligence': '9', 'faith': '14', 'arcane': '9'}"
17f69d4ac46l0i32hju3peo5nijzbj,Wretch,https://eldenring.fanapis.com/images/classes/17f69d4ac46l0i32hju3peo5nijzbj.png,A poor purposeless osd naked as they day they were born. A nice club is all they have,"{'level': '1', 'vigor': '10', 'mind': '10', 'endurance': '10', 'strength': '10', 'dexterity': '10', 'intelligence': '10', 'faith': '10', 'arcane': '10'}"
17f69932fefl0i32hlnekz682ixnvc,Prophet,https://eldenring.fanapis.com/images/classes/17f69932fefl0i32hlnekz682ixnvc.png,A seer ostracized for inauspicious prophecies. Well versed in healing incantations,"{'level': '7', 'vigor': '10', 'mind': '14', 'endurance': '8', 'strength': '11', 'dexterity': '10', 'intelligence': '7', 'faith': '16', 'arcane': '10'}"
17f699f7f4cl0i32huaj53vkdxeh7b,Samurai,https://eldenring.fanapis.com/images/classes/17f699f7f4cl0i32huaj53vkdxeh7b.png,A capable fighter from the distant land of reeds. Handy with Katana and Longbows,"{'level': '9', 'vigor': '12', 'mind': '11', 'endurance': '13', 'strength': '12', 'dexterity': '15', 'intelligence': '9', 'faith': '8', 'arcane': '8'}"
17f69ee8607l0i32idtlwxck1pcnha,Warrior,https://eldenring.fanapis.com/images/classes/17f69ee8607l0i32idtlwxck1pcnha.png,A twinblade wielding warrior from a nomadic tribe. An origin of exceptional technique,"{'level': '8', 'vigor': '11', 'mind': '12', 'endurance': '11', 'strength': '10', 'dexterity': '16', 'intelligence': '10', 'faith': '8', 'arcane': '9'}"
17f699f7b88l0i32igi1s4fq0046de,Enchanted Knight,https://eldenring.fanapis.com/images/classes/17f699f7b88l0i32igi1s4fq0046de.png,"These Knights have embraced the power of Glintstone, facing enemies in melee combat while simultaneously casting spells. They often seek out and destroy those who use magic for nefarious purposes.","{'level': '5', 'vigor': '10', 'mind': '13', 'endurance': '11', 'strength': '15', 'dexterity': '16', 'intelligence': '5', 'faith': '5', 'arcane': '5'}"
17f696a77e2l0i32ijd9jdi2d0lbe6,Bloody Wolf,https://eldenring.fanapis.com/images/classes/17f696a77e2l0i32ijd9jdi2d0lbe6.png,"The Wolf is cunning, steadfast and deadly. These warriors have no fear and face down death with unmatched vigor and pride.","{'level': '5', 'vigor': '14', 'mind': '11', 'endurance': '12', 'strength': '16', 'dexterity': '7', 'intelligence': '9', 'faith': '6', 'arcane': '6'}"
17f69a15924l0i32ioiaydv6hkjxhj,Champion,https://eldenring.fanapis.com/images/classes/17f69a15924l0i32ioiaydv6hkjxhj.png,"Equipped with a Sacred Seal and an Axe, the Champion can burn foes from a distance or take them head on in melee combat. They are ferocious fighters, who do not fear death.","{'level': '5', 'vigor': '13', 'mind': '9', 'endurance': '12', 'strength': '14', 'dexterity': '5', 'intelligence': '15', 'faith': '11', 'arcane': '11'}"
